지점,일시,1시간평균 미세먼지농도(㎍/㎥)
201,2019-01-01 00:00,76
201,2019-01-01 01:00,61
201,2019-01-01 02:00,57
201,2019-01-01 03:00,60
201,2019-01-01 04:00,55
201,2019-01-01 05:00,41
201,2019-01-01 06:00,33
201,2019-01-01 07:00,32
201,2019-01-01 08:00,35
201,2019-01-01 09:00,34
201,2019-01-01 10:00,56
201,2019-01-01 11:00,55
201,2019-01-01 12:00,38
201,2019-01-01 13:00,34
201,2019-01-01 14:00,33
201,2019-01-01 15:00,26
201,2019-01-01 16:00,33
201,2019-01-01 17:00,31
201,2019-01-01 18:00,32
201,2019-01-01 19:00,26
201,2019-01-01 20:00,26
201,2019-01-01 21:00,27
201,2019-01-01 22:00,31
201,2019-01-01 23:00,26
201,2019-01-02 00:00,24
201,2019-01-02 01:00,31
201,2019-01-02 02:00,26
201,2019-01-02 03:00,31
201,2019-01-02 04:00,25
201,2019-01-02 05:00,26
201,2019-01-02 06:00,22
201,2019-01-02 07:00,31
201,2019-01-02 08:00,26
201,2019-01-02 09:00,23
201,2019-01-02 10:00,39
201,2019-01-02 11:00,48
201,2019-01-02 12:00,39
201,2019-01-02 13:00,29
201,2019-01-02 14:00,28
201,2019-01-02 15:00,24
201,2019-01-02 16:00,38
201,2019-01-02 17:00,39
201,2019-01-02 18:00,57
201,2019-01-02 19:00,54
201,2019-01-02 20:00,34
201,2019-01-02 21:00,36
201,2019-01-02 22:00,33
201,2019-01-02 23:00,32
201,2019-01-03 00:00,23
201,2019-01-03 01:00,18
201,2019-01-03 02:00,24
201,2019-01-03 03:00,31
201,2019-01-03 04:00,21
201,2019-01-03 05:00,28
201,2019-01-03 06:00,28
201,2019-01-03 07:00,29
201,2019-01-03 08:00,40
201,2019-01-03 09:00,17
201,2019-01-03 10:00,43
201,2019-01-03 11:00,49
201,2019-01-03 12:00,43
201,2019-01-03 13:00,35
201,2019-01-03 14:00,28
201,2019-01-03 15:00,28
201,2019-01-03 16:00,23
201,2019-01-03 17:00,35
201,2019-01-03 18:00,27
201,2019-01-03 19:00,20
201,2019-01-03 20:00,30
201,2019-01-03 21:00,27
201,2019-01-03 22:00,29
201,2019-01-03 23:00,35
201,2019-01-04 00:00,36
201,2019-01-04 01:00,34
201,2019-01-04 02:00,21
201,2019-01-04 03:00,20
201,2019-01-04 04:00,30
201,2019-01-04 05:00,30
201,2019-01-04 06:00,28
201,2019-01-04 07:00,47
201,2019-01-04 08:00,55
201,2019-01-04 09:00,37
201,2019-01-04 10:00,73
201,2019-01-04 11:00,88
201,2019-01-04 12:00,84
201,2019-01-04 13:00,90
201,2019-01-04 14:00,60
201,2019-01-04 15:00,46
201,2019-01-04 16:00,29
201,2019-01-04 17:00,28
201,2019-01-04 18:00,30
201,2019-01-04 19:00,41
201,2019-01-04 20:00,26
201,2019-01-04 21:00,26
201,2019-01-04 22:00,40
201,2019-01-04 23:00,36
201,2019-01-05 00:00,69
201,2019-01-05 01:00,116
201,2019-01-05 02:00,133
201,2019-01-05 03:00,92
201,2019-01-05 04:00,69
201,2019-01-05 05:00,42
201,2019-01-05 06:00,29
201,2019-01-05 07:00,26
201,2019-01-05 08:00,32
201,2019-01-05 09:00,33
201,2019-01-05 10:00,27
201,2019-01-05 11:00,32
201,2019-01-05 12:00,27
201,2019-01-05 13:00,32
201,2019-01-05 14:00,34
201,2019-01-05 15:00,25
201,2019-01-05 16:00,35
201,2019-01-05 17:00,37
201,2019-01-05 18:00,45
201,2019-01-05 19:00,45
201,2019-01-05 20:00,49
201,2019-01-05 21:00,51
201,2019-01-05 22:00,52
201,2019-01-05 23:00,53
201,2019-01-06 00:00,63
201,2019-01-06 01:00,54
201,2019-01-06 02:00,62
201,2019-01-06 03:00,59
201,2019-01-06 04:00,56
201,2019-01-06 05:00,51
201,2019-01-06 06:00,55
201,2019-01-06 07:00,52
201,2019-01-06 08:00,64
201,2019-01-06 09:00,57
201,2019-01-06 10:00,65
201,2019-01-06 11:00,77
201,2019-01-06 12:00,65
201,2019-01-06 13:00,37
201,2019-01-06 14:00,35
201,2019-01-06 15:00,27
201,2019-01-06 16:00,29
201,2019-01-06 17:00,29
201,2019-01-06 18:00,34
201,2019-01-06 19:00,30
201,2019-01-06 20:00,30
201,2019-01-06 21:00,34
201,2019-01-06 22:00,31
201,2019-01-06 23:00,44
201,2019-01-07 00:00,30
201,2019-01-07 01:00,32
201,2019-01-07 02:00,40
201,2019-01-07 03:00,34
201,2019-01-07 04:00,36
201,2019-01-07 05:00,37
201,2019-01-07 06:00,32
201,2019-01-07 07:00,24
201,2019-01-07 08:00,61
201,2019-01-07 09:00,26
201,2019-01-07 10:00,53
201,2019-01-07 11:00,75
201,2019-01-07 12:00,54
201,2019-01-07 13:00,65
201,2019-01-07 14:00,51
201,2019-01-07 15:00,60
201,2019-01-07 16:00,53
201,2019-01-07 17:00,54
201,2019-01-07 18:00,68
201,2019-01-07 19:00,61
201,2019-01-07 20:00,58
201,2019-01-07 21:00,62
201,2019-01-07 22:00,58
201,2019-01-07 23:00,49
201,2019-01-08 00:00,28
201,2019-01-08 01:00,34
201,2019-01-08 02:00,29
201,2019-01-08 03:00,28
201,2019-01-08 04:00,27
201,2019-01-08 05:00,27
201,2019-01-08 06:00,37
201,2019-01-08 07:00,38
201,2019-01-08 08:00,36
201,2019-01-08 09:00,34
201,2019-01-08 10:00,33
201,2019-01-08 11:00,47
201,2019-01-08 12:00,36
201,2019-01-08 13:00,44
201,2019-01-08 14:00,40
201,2019-01-08 15:00,57
201,2019-01-08 16:00,53
201,2019-01-08 17:00,56
201,2019-01-08 18:00,37
201,2019-01-08 19:00,25
201,2019-01-08 21:00,11
201,2019-01-08 22:00,28
201,2019-01-08 23:00,35
201,2019-01-09 00:00,33
201,2019-01-09 01:00,37
201,2019-01-09 02:00,32
201,2019-01-09 03:00,26
201,2019-01-09 04:00,28
201,2019-01-09 05:00,29
201,2019-01-09 06:00,28
201,2019-01-09 07:00,30
201,2019-01-09 08:00,27
201,2019-01-09 09:00,41
201,2019-01-09 10:00,57
201,2019-01-09 11:00,45
201,2019-01-09 12:00,43
201,2019-01-09 13:00,46
201,2019-01-09 14:00,31
201,2019-01-09 15:00,41
201,2019-01-09 16:00,46
201,2019-01-09 17:00,46
201,2019-01-09 18:00,48
201,2019-01-09 19:00,53
201,2019-01-09 20:00,43
201,2019-01-09 21:00,37
201,2019-01-09 22:00,39
201,2019-01-09 23:00,54
201,2019-01-10 00:00,43
201,2019-01-10 01:00,51
201,2019-01-10 02:00,64
201,2019-01-10 03:00,60
201,2019-01-10 04:00,56
201,2019-01-10 05:00,63
201,2019-01-10 06:00,55
201,2019-01-10 07:00,37
201,2019-01-10 08:00,47
201,2019-01-10 09:00,69
201,2019-01-10 10:00,102
201,2019-01-10 11:00,96
201,2019-01-10 12:00,73
201,2019-01-10 13:00,34
201,2019-01-10 14:00,28
201,2019-01-10 15:00,32
201,2019-01-10 16:00,26
201,2019-01-10 17:00,26
201,2019-01-10 18:00,31
201,2019-01-10 19:00,32
201,2019-01-10 20:00,36
201,2019-01-10 21:00,39
201,2019-01-10 22:00,35
201,2019-01-10 23:00,47
201,2019-01-11 00:00,48
201,2019-01-11 01:00,50
201,2019-01-11 02:00,52
201,2019-01-11 03:00,59
201,2019-01-11 04:00,67
201,2019-01-11 05:00,64
201,2019-01-11 06:00,61
201,2019-01-11 07:00,54
201,2019-01-11 08:00,52
201,2019-01-11 09:00,49
201,2019-01-11 10:00,53
201,2019-01-11 11:00,86
201,2019-01-11 12:00,67
201,2019-01-11 13:00,74
201,2019-01-11 14:00,73
201,2019-01-11 15:00,76
201,2019-01-11 16:00,78
201,2019-01-11 17:00,91
201,2019-01-11 18:00,95
201,2019-01-11 19:00,96
201,2019-01-11 20:00,99
201,2019-01-11 21:00,96
201,2019-01-11 22:00,98
201,2019-01-11 23:00,99
201,2019-01-12 00:00,65
201,2019-01-12 01:00,71
201,2019-01-12 02:00,66
201,2019-01-12 03:00,63
201,2019-01-12 04:00,79
201,2019-01-12 05:00,94
201,2019-01-12 06:00,83
201,2019-01-12 07:00,77
201,2019-01-12 08:00,70
201,2019-01-12 09:00,84
201,2019-01-12 10:00,73
201,2019-01-12 11:00,115
201,2019-01-12 12:00,98
201,2019-01-12 13:00,109
201,2019-01-12 14:00,85
201,2019-01-12 15:00,87
201,2019-01-12 16:00,82
201,2019-01-12 17:00,80
201,2019-01-12 18:00,79
201,2019-01-12 19:00,81
201,2019-01-12 20:00,78
201,2019-01-12 21:00,74
201,2019-01-12 22:00,96
201,2019-01-12 23:00,86
201,2019-01-13 00:00,95
201,2019-01-13 01:00,119
201,2019-01-13 02:00,105
201,2019-01-13 03:00,96
201,2019-01-13 04:00,90
201,2019-01-13 05:00,101
201,2019-01-13 06:00,94
201,2019-01-13 07:00,94
201,2019-01-13 08:00,94
201,2019-01-13 09:00,90
201,2019-01-13 10:00,103
201,2019-01-13 11:00,148
201,2019-01-13 12:00,133
201,2019-01-13 13:00,126
201,2019-01-13 14:00,116
201,2019-01-13 15:00,125
201,2019-01-13 16:00,121
201,2019-01-13 17:00,112
201,2019-01-13 18:00,117
201,2019-01-13 19:00,119
201,2019-01-13 20:00,117
201,2019-01-13 21:00,117
201,2019-01-13 22:00,110
201,2019-01-13 23:00,111
201,2019-01-14 00:00,119
201,2019-01-14 01:00,128
201,2019-01-14 02:00,125
201,2019-01-14 03:00,125
201,2019-01-14 04:00,122
201,2019-01-14 05:00,126
201,2019-01-14 06:00,122
201,2019-01-14 07:00,129
201,2019-01-14 08:00,146
201,2019-01-14 09:00,170
201,2019-01-14 10:00,177
201,2019-01-14 11:00,191
201,2019-01-14 12:00,166
201,2019-01-14 13:00,167
201,2019-01-14 14:00,193
201,2019-01-14 15:00,217
201,2019-01-14 16:00,210
201,2019-01-14 17:00,197
201,2019-01-14 18:00,178
201,2019-01-14 19:00,175
201,2019-01-14 20:00,185
201,2019-01-14 21:00,158
201,2019-01-14 22:00,167
201,2019-01-14 23:00,192
201,2019-01-15 00:00,154
201,2019-01-15 01:00,172
201,2019-01-15 02:00,177
201,2019-01-15 03:00,166
201,2019-01-15 04:00,152
201,2019-01-15 05:00,152
201,2019-01-15 06:00,138
201,2019-01-15 07:00,130
201,2019-01-15 08:00,149
201,2019-01-15 09:00,150
201,2019-01-15 10:00,171
201,2019-01-15 11:00,149
201,2019-01-15 12:00,132
201,2019-01-15 13:00,99
201,2019-01-15 14:00,96
201,2019-01-15 15:00,118
201,2019-01-15 16:00,109
201,2019-01-15 17:00,100
201,2019-01-15 18:00,90
201,2019-01-15 19:00,82
201,2019-01-15 20:00,75
201,2019-01-15 21:00,80
201,2019-01-15 22:00,85
201,2019-01-15 23:00,92
201,2019-01-16 00:00,86
201,2019-01-16 01:00,73
201,2019-01-16 02:00,57
201,2019-01-16 03:00,52
201,2019-01-16 04:00,53
201,2019-01-16 05:00,41
201,2019-01-16 06:00,40
201,2019-01-16 07:00,43
201,2019-01-16 08:00,37
201,2019-01-16 09:00,38
201,2019-01-16 10:00,40
201,2019-01-16 11:00,35
201,2019-01-16 12:00,35
201,2019-01-16 13:00,30
201,2019-01-16 14:00,17
201,2019-01-16 15:00,25
201,2019-01-16 16:00,26
201,2019-01-16 17:00,31
201,2019-01-16 18:00,34
201,2019-01-16 19:00,32
201,2019-01-16 20:00,23
201,2019-01-16 21:00,18
201,2019-01-16 22:00,20
201,2019-01-16 23:00,26
201,2019-01-17 00:00,25
201,2019-01-17 01:00,37
201,2019-01-17 02:00,35
201,2019-01-17 03:00,35
201,2019-01-17 04:00,35
201,2019-01-17 05:00,42
201,2019-01-17 06:00,37
201,2019-01-17 07:00,39
201,2019-01-17 08:00,48
201,2019-01-17 09:00,47
201,2019-01-17 10:00,48
201,2019-01-17 11:00,55
201,2019-01-17 12:00,48
201,2019-01-17 13:00,39
201,2019-01-17 14:00,37
201,2019-01-17 15:00,44
201,2019-01-17 16:00,43
201,2019-01-17 17:00,43
201,2019-01-17 18:00,50
201,2019-01-17 19:00,48
201,2019-01-17 20:00,34
201,2019-01-17 21:00,30
201,2019-01-17 22:00,34
201,2019-01-17 23:00,41
201,2019-01-18 00:00,47
201,2019-01-18 01:00,50
201,2019-01-18 02:00,51
201,2019-01-18 03:00,48
201,2019-01-18 04:00,34
201,2019-01-18 05:00,25
201,2019-01-18 06:00,23
201,2019-01-18 07:00,20
201,2019-01-18 08:00,29
201,2019-01-18 09:00,28
201,2019-01-18 10:00,56
201,2019-01-18 11:00,52
201,2019-01-18 12:00,60
201,2019-01-18 13:00,51
201,2019-01-18 14:00,59
201,2019-01-18 15:00,62
201,2019-01-18 16:00,61
201,2019-01-18 17:00,69
201,2019-01-18 18:00,65
201,2019-01-18 19:00,63
201,2019-01-18 20:00,53
201,2019-01-18 21:00,60
201,2019-01-18 22:00,71
201,2019-01-18 23:00,73
201,2019-01-19 00:00,62
201,2019-01-19 01:00,75
201,2019-01-19 02:00,76
201,2019-01-19 03:00,87
201,2019-01-19 04:00,76
201,2019-01-19 05:00,85
201,2019-01-19 06:00,81
201,2019-01-19 07:00,101
201,2019-01-19 08:00,122
201,2019-01-19 09:00,152
201,2019-01-19 10:00,133
201,2019-01-19 11:00,134
201,2019-01-19 12:00,146
201,2019-01-19 13:00,146
201,2019-01-19 14:00,137
201,2019-01-19 15:00,80
201,2019-01-19 16:00,62
201,2019-01-19 17:00,48
201,2019-01-19 18:00,60
201,2019-01-19 19:00,58
201,2019-01-19 20:00,36
201,2019-01-19 21:00,49
201,2019-01-19 22:00,95
201,2019-01-19 23:00,104
201,2019-01-20 00:00,79
201,2019-01-20 01:00,94
201,2019-01-20 02:00,107
201,2019-01-20 03:00,122
201,2019-01-20 04:00,97
201,2019-01-20 05:00,51
201,2019-01-20 06:00,56
201,2019-01-20 07:00,55
201,2019-01-20 08:00,47
201,2019-01-20 09:00,35
201,2019-01-20 10:00,41
201,2019-01-20 11:00,44
201,2019-01-20 12:00,56
201,2019-01-20 13:00,58
201,2019-01-20 14:00,70
201,2019-01-20 15:00,52
201,2019-01-20 16:00,46
201,2019-01-20 17:00,48
201,2019-01-20 18:00,41
201,2019-01-20 19:00,47
201,2019-01-20 20:00,37
201,2019-01-20 21:00,36
201,2019-01-20 22:00,39
201,2019-01-20 23:00,37
201,2019-01-21 00:00,46
201,2019-01-21 01:00,38
201,2019-01-21 02:00,32
201,2019-01-21 03:00,24
201,2019-01-21 04:00,24
201,2019-01-21 05:00,20
201,2019-01-21 06:00,19
201,2019-01-21 07:00,20
201,2019-01-21 08:00,17
201,2019-01-21 09:00,39
201,2019-01-21 10:00,54
201,2019-01-21 11:00,52
201,2019-01-21 12:00,32
201,2019-01-21 13:00,35
201,2019-01-21 14:00,40
201,2019-01-21 15:00,53
201,2019-01-21 16:00,59
201,2019-01-21 17:00,59
201,2019-01-21 18:00,51
201,2019-01-21 19:00,47
201,2019-01-21 20:00,43
201,2019-01-21 21:00,56
201,2019-01-21 22:00,65
201,2019-01-21 23:00,68
201,2019-01-22 00:00,67
201,2019-01-22 01:00,57
201,2019-01-22 02:00,54
201,2019-01-22 03:00,58
201,2019-01-22 04:00,57
201,2019-01-22 05:00,45
201,2019-01-22 06:00,51
201,2019-01-22 07:00,41
201,2019-01-22 08:00,57
201,2019-01-22 09:00,72
201,2019-01-22 10:00,86
201,2019-01-22 11:00,99
201,2019-01-22 12:00,90
201,2019-01-22 13:00,56
201,2019-01-22 14:00,55
201,2019-01-22 15:00,52
201,2019-01-22 16:00,62
201,2019-01-22 17:00,68
201,2019-01-22 18:00,73
201,2019-01-22 19:00,66
201,2019-01-22 20:00,65
201,2019-01-22 21:00,67
201,2019-01-22 22:00,79
201,2019-01-22 23:00,83
201,2019-01-23 00:00,77
201,2019-01-23 01:00,88
201,2019-01-23 02:00,82
201,2019-01-23 03:00,100
201,2019-01-23 04:00,97
201,2019-01-23 05:00,91
201,2019-01-23 06:00,112
201,2019-01-23 07:00,120
201,2019-01-23 08:00,147
201,2019-01-23 09:00,96
201,2019-01-23 10:00,87
201,2019-01-23 11:00,128
201,2019-01-23 12:00,104
201,2019-01-23 13:00,71
201,2019-01-23 14:00,39
201,2019-01-23 15:00,44
201,2019-01-23 16:00,48
201,2019-01-23 17:00,55
201,2019-01-23 18:00,32
201,2019-01-23 19:00,33
201,2019-01-23 20:00,41
201,2019-01-23 21:00,41
201,2019-01-23 22:00,39
201,2019-01-23 23:00,37
201,2019-01-24 00:00,33
201,2019-01-24 01:00,30
201,2019-01-24 02:00,30
201,2019-01-24 03:00,37
201,2019-01-24 04:00,28
201,2019-01-24 05:00,32
201,2019-01-24 06:00,31
201,2019-01-24 07:00,23
201,2019-01-24 08:00,25
201,2019-01-24 09:00,25
201,2019-01-24 10:00,49
201,2019-01-24 11:00,48
201,2019-01-24 12:00,44
201,2019-01-24 13:00,29
201,2019-01-24 14:00,22
201,2019-01-24 15:00,27
201,2019-01-24 16:00,31
201,2019-01-24 17:00,38
201,2019-01-24 18:00,30
201,2019-01-24 19:00,26
201,2019-01-24 20:00,15
201,2019-01-24 21:00,26
201,2019-01-24 22:00,28
201,2019-01-24 23:00,19
201,2019-01-25 00:00,30
201,2019-01-25 01:00,33
201,2019-01-25 02:00,21
201,2019-01-25 03:00,25
201,2019-01-25 04:00,11
201,2019-01-25 05:00,21
201,2019-01-25 06:00,25
201,2019-01-25 07:00,31
201,2019-01-25 08:00,24
201,2019-01-25 09:00,24
201,2019-01-25 10:00,32
201,2019-01-25 11:00,44
201,2019-01-25 12:00,42
201,2019-01-25 13:00,50
201,2019-01-25 14:00,53
201,2019-01-25 15:00,62
201,2019-01-25 16:00,62
201,2019-01-25 17:00,81
201,2019-01-25 18:00,82
201,2019-01-25 19:00,81
201,2019-01-25 20:00,72
201,2019-01-25 21:00,80
201,2019-01-25 22:00,94
201,2019-01-25 23:00,60
201,2019-01-26 00:00,60
201,2019-01-26 01:00,51
201,2019-01-26 02:00,48
201,2019-01-26 03:00,44
201,2019-01-26 04:00,37
201,2019-01-26 05:00,43
201,2019-01-26 06:00,41
201,2019-01-26 07:00,40
201,2019-01-26 08:00,43
201,2019-01-26 09:00,45
201,2019-01-26 10:00,49
201,2019-01-26 11:00,48
201,2019-01-26 12:00,37
